,L1-0,L1-5,L1-8,L1-16,L2-23,L3-27,JSH,Adult-50,N2U
RIGL,Lateral,Lateral,Lateral,Lateral,Lateral,Lateral,Lateral,Lateral,Lateral
RIH,Anterior,Anterior,Anterior,Anterior,Anterior,Anterior,Anterior,Anterior,Anterior
RIML,Lateral,Lateral,Lateral,Lateral,Lateral,Lateral,Lateral,Lateral,Lateral
RIPL,Anterior,Anterior,Anterior,Anterior,Anterior,Anterior,Anterior,Anterior,Anterior
RIR,Taxis,Taxis,Taxis,Taxis,Avoidance,Avoidance,Avoidance,Avoidance,Taxis
RIS,Lateral,Lateral,Lateral,Lateral,Lateral,Lateral,Lateral,Lateral,Lateral
RIVL,Lateral,Lateral,Lateral,Lateral,Lateral,Lateral,Lateral,Lateral,Lateral
RMDDL,Anterior,Sublateral,Anterior,Anterior,Anterior,Anterior,Anterior,Anterior,Anterior
RMDL,Anterior,Sublateral,Sublateral,Anterior,Sublateral,Sublateral,Sublateral,Anterior,Anterior
RMDVL,Anterior,Sublateral,Anterior,Anterior,Anterior,Anterior,Anterior,Anterior,Anterior
RMED,Anterior,Anterior,Anterior,Anterior,Anterior,Anterior,Anterior,Anterior,Anterior
RMEL,Anterior,Anterior,Anterior,Anterior,Anterior,Anterior,Anterior,Anterior,Anterior
RMEV,Anterior,Anterior,Anterior,Anterior,Anterior,Anterior,Anterior,Anterior,Anterior
RMFL,Avoidance,Avoidance,Avoidance,Avoidance,Sublateral,Sublateral,Lateral,Lateral,Lateral
RMGL,Anterior,Sublateral,Sublateral,Sublateral,Sublateral,Sublateral,Sublateral,Sublateral,Sublateral
RMHL,Avoidance,Avoidance,Avoidance,Sublateral,Sublateral,Sublateral,Sublateral,Sublateral,Sublateral
SAADL,Lateral,Lateral,Lateral,Lateral,Lateral,Lateral,Lateral,Lateral,Lateral
SAAVL,Lateral,Lateral,Lateral,Lateral,Lateral,Lateral,Lateral,Lateral,Lateral
SDQL,Lateral,Avoidance,Avoidance,Avoidance,Sublateral,Avoidance,Sublateral,Lateral,Sublateral
SIADL,Sublateral,Lateral,Sublateral,Sublateral,Lateral,Sublateral,Sublateral,Sublateral,Sublateral
SIAVL,Sublateral,Sublateral,Sublateral,Sublateral,Sublateral,Sublateral,Sublateral,Sublateral,Sublateral
SIBDL,Sublateral,Sublateral,Sublateral,Sublateral,Sublateral,Sublateral,Sublateral,Sublateral,Sublateral
SIBVL,Sublateral,Sublateral,Sublateral,Sublateral,Sublateral,Sublateral,Sublateral,Sublateral,Sublateral
SMBDL,Sublateral,Sublateral,Sublateral,Sublateral,Sublateral,Sublateral,Sublateral,Sublateral,Sublateral
SMBVL,Sublateral,Sublateral,Sublateral,Sublateral,Sublateral,Sublateral,Sublateral,Sublateral,Sublateral
SMDDL,Lateral,Lateral,Lateral,Lateral,Lateral,Lateral,Lateral,Lateral,Lateral
SMDVL,Lateral,Lateral,Lateral,Lateral,Lateral,Lateral,Lateral,Lateral,Lateral
URADL,Anterior,Anterior,Anterior,Anterior,Anterior,Anterior,Anterior,Anterior,Anterior
URAVL,Anterior,Anterior,Anterior,Anterior,Anterior,Anterior,Anterior,Anterior,Anterior
URBL,Anterior,Sublateral,Sublateral,Sublateral,Sublateral,Sublateral,Sublateral,Sublateral,Sublateral
URXL,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis,Avoidance,Avoidance,Sublateral
URYDL,Anterior,Anterior,Anterior,Anterior,Anterior,Anterior,Anterior,Anterior,Anterior
URYVL,Anterior,Anterior,Anterior,Anterior,Anterior,Anterior,Anterior,Anterior,Anterior
