Comparison,Network,Edge threshold,Measure,Cell,Jaccard Distance
L4 L/R,all,low,proximal,RMEL,0.17142857142857143
L4 L/R,all,low,proximal,RMFL,0.13513513513513514
L4 L/R,all,low,proximal,RMGL,0.17857142857142858
L4 L/R,all,low,proximal,RMHL,0.14893617021276595
L4 L/R,all,low,proximal,SAADL,0.13333333333333333
L4 L/R,all,low,proximal,SAAVL,0.23529411764705882
L4 L/R,all,low,proximal,SDQL,0.11428571428571428
L4 L/R,all,low,proximal,SIADL,0.125
L4 L/R,all,low,proximal,SIAVL,0.15384615384615385
L4 L/R,all,low,proximal,SIBDL,0.1935483870967742
L4 L/R,all,low,proximal,SIBVL,0.14545454545454545
L4 L/R,all,low,proximal,SMBDL,0.08108108108108109
L4 L/R,all,low,proximal,SMBVL,0.08
L4 L/R,all,low,proximal,SMDDL,0.08823529411764706
L4 L/R,all,low,proximal,SMDVL,0.14285714285714285
L4 L/R,all,low,proximal,URADL,0.125
L4 L/R,all,low,proximal,URAVL,0.18518518518518517
L4 L/R,all,low,proximal,URBL,0.14285714285714285
L4 L/R,all,low,proximal,URXL,0.2
L4 L/R,all,low,proximal,URYDL,0.18181818181818182
L4 L/R,all,low,proximal,URYVL,0.17142857142857143
L4 L/R,all,low,proximal,ADAR,0.175
L4 L/R,all,low,proximal,ADER,0.15384615384615385
L4 L/R,all,low,proximal,ADFR,0.13043478260869565
L4 L/R,all,low,proximal,ADLR,0.10526315789473684
L4 L/R,all,low,proximal,AFDR,0.08695652173913043
L4 L/R,all,low,proximal,AIAR,0.0
L4 L/R,all,low,proximal,AIBR,0.11627906976744186
L4 L/R,all,low,proximal,AIMR,0.175
L4 L/R,all,low,proximal,AINR,0.30434782608695654
L4 L/R,all,low,proximal,AIYR,0.15789473684210525
L4 L/R,all,low,proximal,AIZR,0.15789473684210525
L4 L/R,all,low,proximal,ALMR,0.125
L4 L/R,all,low,proximal,ALNR,0.14285714285714285
L4 L/R,all,low,proximal,ASER,0.0967741935483871
L4 L/R,all,low,proximal,ASGR,0.15
L4 L/R,all,low,proximal,ASHR,0.12
L4 L/R,all,low,proximal,ASIR,0.10256410256410256
L4 L/R,all,low,proximal,ASJR,0.14705882352941177
L4 L/R,all,low,proximal,ASKR,0.14285714285714285
L4 L/R,all,low,proximal,AUAR,0.13333333333333333
L4 L/R,all,low,proximal,AVAR,0.15151515151515152
L4 L/R,all,low,proximal,AVBR,0.1282051282051282
L4 L/R,all,low,proximal,AVDR,0.23214285714285715
L4 L/R,all,low,proximal,AVER,0.1724137931034483
L4 L/R,all,low,proximal,AVFR,0.2
L4 L/R,all,low,proximal,AVHR,0.17857142857142858
L4 L/R,all,low,proximal,AVJR,0.14285714285714285
L4 L/R,all,low,proximal,AVKR,0.08695652173913043
L4 L/R,all,low,proximal,AWAR,0.1111111111111111
L4 L/R,all,low,proximal,AWBR,0.18181818181818182
L4 L/R,all,low,proximal,AWCR,0.14285714285714285
L4 L/R,all,low,proximal,BAGR,0.18421052631578946
L4 L/R,all,low,proximal,BDUR,0.16666666666666666
L4 L/R,all,low,proximal,CEPDR,0.08695652173913043
L4 L/R,all,low,proximal,CEPVR,0.15
L4 L/R,all,low,proximal,FLPR,0.08695652173913043
L4 L/R,all,low,proximal,IL1DR,0.18421052631578946
L4 L/R,all,low,proximal,IL1R,0.10526315789473684
L4 L/R,all,low,proximal,IL1VR,0.23076923076923078
L4 L/R,all,low,proximal,IL2DR,0.13513513513513514
L4 L/R,all,low,proximal,IL2R,0.13513513513513514
L4 L/R,all,low,proximal,IL2VR,0.13333333333333333
L4 L/R,all,low,proximal,OLLR,0.16666666666666666
L4 L/R,all,low,proximal,OLQDR,0.12903225806451613
L4 L/R,all,low,proximal,OLQVR,0.15625
L4 L/R,all,low,proximal,PVCR,0.1702127659574468
L4 L/R,all,low,proximal,PVPR,0.18181818181818182
L4 L/R,all,low,proximal,PVQR,0.1724137931034483
L4 L/R,all,low,proximal,RIAR,0.23529411764705882
L4 L/R,all,low,proximal,RIBR,0.07894736842105263
L4 L/R,all,low,proximal,RICR,0.13559322033898305
L4 L/R,all,low,proximal,RIFR,0.10344827586206896
L4 L/R,all,low,proximal,RIGR,0.11538461538461539
L4 L/R,all,low,proximal,RIMR,0.15217391304347827
L4 L/R,all,low,proximal,RIPR,0.125
L4 L/R,all,low,proximal,RIVR,0.1509433962264151
L4 L/R,all,low,proximal,RMDDR,0.12
L4 L/R,all,low,proximal,RMDR,0.07894736842105263
L4 L/R,all,low,proximal,RMDVR,0.08108108108108109
L4 L/R,all,low,proximal,RMER,0.11764705882352941
L4 L/R,all,low,proximal,RMFR,0.08108108108108109
L4 L/R,all,low,proximal,RMGR,0.11363636363636363
L4 L/R,all,low,proximal,RMHR,0.15625
L4 L/R,all,low,proximal,SAADR,0.13793103448275862
L4 L/R,all,low,proximal,SAAVR,0.12727272727272726
L4 L/R,all,low,proximal,SDQR,0.16129032258064516
L4 L/R,all,low,proximal,SIADR,0.2
L4 L/R,all,low,proximal,SIAVR,0.18421052631578946
L4 L/R,all,low,proximal,SIBDR,0.1896551724137931
L4 L/R,all,low,proximal,SIBVR,0.0784313725490196
L4 L/R,all,low,proximal,SMBDR,0.10416666666666667
L4 L/R,all,low,proximal,SMBVR,0.16666666666666666
L4 L/R,all,low,proximal,SMDDR,0.18421052631578946
L4 L/R,all,low,proximal,SMDVR,0.1346153846153846
L4 L/R,all,low,proximal,URADR,0.1111111111111111
L4 L/R,all,low,proximal,URAVR,0.11538461538461539
L4 L/R,all,low,proximal,URBR,0.16129032258064516
L4 L/R,all,low,proximal,URXR,0.1935483870967742
L4 L/R,all,low,proximal,URYDR,0.15789473684210525
L4 L/R,all,low,proximal,URYVR,0.0625
Adult/L4,all,low,homologous,ADAL,0.2727272727272727
Adult/L4,all,low,homologous,ADEL,0.029411764705882353
Adult/L4,all,low,homologous,ADFL,0.15
Adult/L4,all,low,homologous,ADLL,0.20512820512820512
Adult/L4,all,low,homologous,AFDL,0.0
Adult/L4,all,low,homologous,AIAL,0.2
Adult/L4,all,low,homologous,AIBL,0.3333333333333333
Adult/L4,all,low,homologous,AIML,0.26666666666666666
Adult/L4,all,low,homologous,AINL,0.2972972972972973
Adult/L4,all,low,homologous,AIYL,0.22727272727272727
Adult/L4,all,low,homologous,AIZL,0.3
Adult/L4,all,low,homologous,ALML,0.29411764705882354
Adult/L4,all,low,homologous,ALNL,0.13043478260869565
Adult/L4,all,low,homologous,ASEL,0.1111111111111111
Adult/L4,all,low,homologous,ASGL,0.16666666666666666
Adult/L4,all,low,homologous,ASHL,0.17391304347826086
Adult/L4,all,low,homologous,ASIL,0.38095238095238093
Adult/L4,all,low,homologous,ASJL,0.2
Adult/L4,all,low,homologous,ASKL,0.05555555555555555
Adult/L4,all,low,homologous,AUAL,0.30303030303030304
Adult/L4,all,low,homologous,AVAL,0.24242424242424243
Adult/L4,all,low,homologous,AVBL,0.11904761904761904
Adult/L4,all,low,homologous,AVDL,0.18604651162790697
Adult/L4,all,low,homologous,AVEL,0.3181818181818182
Adult/L4,all,low,homologous,AVFL,0.0
Adult/L4,all,low,homologous,AVHL,0.2894736842105263
Adult/L4,all,low,homologous,AVJL,0.3
Adult/L4,all,low,homologous,AVKL,0.0967741935483871
Adult/L4,all,low,homologous,AWAL,0.10526315789473684
Adult/L4,all,low,homologous,AWBL,0.21739130434782608
Adult/L4,all,low,homologous,AWCL,0.12121212121212122
Adult/L4,all,low,homologous,BAGL,0.2553191489361702
Adult/L4,all,low,homologous,BDUL,0.21428571428571427
Adult/L4,all,low,homologous,CEPDL,0.24390243902439024
Adult/L4,all,low,homologous,CEPVL,0.22857142857142856
Adult/L4,all,low,homologous,FLPL,0.09090909090909091
Adult/L4,all,low,homologous,IL1DL,0.3888888888888889
Adult/L4,all,low,homologous,IL1L,0.25925925925925924
Adult/L4,all,low,homologous,IL1VL,0.18518518518518517
Adult/L4,all,low,homologous,IL2DL,0.4375
Adult/L4,all,low,homologous,IL2L,0.3333333333333333
Adult/L4,all,low,homologous,IL2VL,0.3076923076923077
Adult/L4,all,low,homologous,OLLL,0.2777777777777778
Adult/L4,all,low,homologous,OLQDL,0.5161290322580645
Adult/L4,all,low,homologous,OLQVL,0.34615384615384615
Adult/L4,all,low,homologous,PVCL,0.2
Adult/L4,all,low,homologous,PVPL,0.045454545454545456
Adult/L4,all,low,homologous,PVQL,0.05
Adult/L4,all,low,homologous,RIAL,0.29545454545454547
Adult/L4,all,low,homologous,RIBL,0.13333333333333333
Adult/L4,all,low,homologous,RICL,0.30612244897959184
Adult/L4,all,low,homologous,RIFL,0.22580645161290322
Adult/L4,all,low,homologous,RIGL,0.17857142857142858
Adult/L4,all,low,homologous,RIML,0.3
Adult/L4,all,low,homologous,RIPL,0.17391304347826086
Adult/L4,all,low,homologous,RIVL,0.14705882352941177
Adult/L4,all,low,homologous,RMDDL,0.16666666666666666
Adult/L4,all,low,homologous,RMDL,0.09090909090909091
Adult/L4,all,low,homologous,RMDVL,0.18518518518518517
Adult/L4,all,low,homologous,RMEL,0.09090909090909091
Adult/L4,all,low,homologous,RMFL,0.047619047619047616
Adult/L4,all,low,homologous,RMGL,0.12
Adult/L4,all,low,homologous,RMHL,0.0967741935483871
Adult/L4,all,low,homologous,SAADL,0.10714285714285714
Adult/L4,all,low,homologous,SAAVL,0.2702702702702703
Adult/L4,all,low,homologous,SDQL,0.16129032258064516
Adult/L4,all,low,homologous,SIADL,0.23809523809523808
Adult/L4,all,low,homologous,SIAVL,0.225
Adult/L4,all,low,homologous,SIBDL,0.2222222222222222
Adult/L4,all,low,homologous,SIBVL,0.22448979591836735
Adult/L4,all,low,homologous,SMBDL,0.15789473684210525
Adult/L4,all,low,homologous,SMBVL,0.08823529411764706
Adult/L4,all,low,homologous,SMDDL,0.14285714285714285
Adult/L4,all,low,homologous,SMDVL,0.22857142857142856
Adult/L4,all,low,homologous,URADL,0.4444444444444444
Adult/L4,all,low,homologous,URAVL,0.13793103448275862
Adult/L4,all,low,homologous,URBL,0.1724137931034483
Adult/L4,all,low,homologous,URXL,0.16279069767441862
Adult/L4,all,low,homologous,URYDL,0.43478260869565216
Adult/L4,all,low,homologous,URYVL,0.2647058823529412
Adult/L4,all,low,proximal,ADAL,0.1346153846153846
Adult/L4,all,low,proximal,ADAR,0.16666666666666666
Adult/L4,all,low,proximal,ADEL,0.23529411764705882
Adult/L4,all,low,proximal,ADER,0.075
Adult/L4,all,low,proximal,ADFL,0.1111111111111111
Adult/L4,all,low,proximal,ADFR,0.0967741935483871
Adult/L4,all,low,proximal,ADLL,0.2
Adult/L4,all,low,proximal,ADLR,0.16216216216216217
Adult/L4,all,low,proximal,AFDL,0.125
Adult/L4,all,low,proximal,AFDR,0.2
Adult/L4,all,low,proximal,AIAL,0.1
Adult/L4,all,low,proximal,AIAR,0.0
Adult/L4,all,low,proximal,AIBL,0.11904761904761904
Adult/L4,all,low,proximal,AIBR,0.14705882352941177
Adult/L4,all,low,proximal,AIML,0.17777777777777778
Adult/L4,all,low,proximal,AIMR,0.16129032258064516
Adult/L4,all,low,proximal,AINL,0.19444444444444445
Adult/L4,all,low,proximal,AINR,0.1956521739130435
Adult/L4,all,low,proximal,AIYL,0.12
Adult/L4,all,low,proximal,AIYR,0.14285714285714285
Adult/L4,all,low,proximal,AIZL,0.2553191489361702
Adult/L4,all,low,proximal,AIZR,0.1
Adult/L4,all,low,proximal,ALA,0.2127659574468085
Adult/L4,all,low,proximal,ALML,0.16666666666666666
Adult/L4,all,low,proximal,ALMR,0.2413793103448276
Adult/L4,all,low,proximal,ALNL,0.08571428571428572
Adult/L4,all,low,proximal,ALNR,0.10714285714285714
Adult/L4,all,low,proximal,AQR,0.18333333333333332
Adult/L4,all,low,proximal,ASEL,0.08695652173913043
Adult/L4,all,low,proximal,ASER,0.13953488372093023
Adult/L4,all,low,proximal,ASGL,0.09375
Adult/L4,all,low,proximal,ASGR,0.12903225806451613
Adult/L4,all,low,proximal,ASHL,0.08823529411764706
Adult/L4,all,low,proximal,ASHR,0.14285714285714285
Adult/L4,all,low,proximal,ASIL,0.15151515151515152
Adult/L4,all,low,proximal,ASIR,0.19444444444444445
Adult/L4,all,low,proximal,ASJL,0.08823529411764706
Adult/L4,all,low,proximal,ASJR,0.2413793103448276
Adult/L4,all,low,proximal,ASKL,0.06666666666666667
Adult/L4,all,low,proximal,ASKR,0.175
Adult/L4,all,low,proximal,AUAL,0.1276595744680851
Adult/L4,all,low,proximal,AUAR,0.10344827586206896
Adult/L4,all,low,proximal,AVAL,0.14285714285714285
Adult/L4,all,low,proximal,AVAR,0.13157894736842105
Adult/L4,all,low,proximal,AVBL,0.13157894736842105
Adult/L4,all,low,proximal,AVBR,0.21153846153846154
Adult/L4,all,low,proximal,AVDL,0.13636363636363635
Adult/L4,all,low,proximal,AVDR,0.1956521739130435
Adult/L4,all,low,proximal,AVEL,0.17777777777777778
Adult/L4,all,low,proximal,AVER,0.1346153846153846
Adult/L4,all,low,proximal,AVFL,0.15
Adult/L4,all,low,proximal,AVFR,0.11538461538461539
Adult/L4,all,low,proximal,AVHL,0.14285714285714285
Adult/L4,all,low,proximal,AVHR,0.15
Adult/L4,all,low,proximal,AVJL,0.1951219512195122
Adult/L4,all,low,proximal,AVJR,0.16129032258064516
Adult/L4,all,low,proximal,AVKL,0.09523809523809523
Adult/L4,all,low,proximal,AVKR,0.125
Adult/L4,all,low,proximal,AVL,0.13513513513513514
Adult/L4,all,low,proximal,AVM,0.11764705882352941
Adult/L4,all,low,proximal,AWAL,0.045454545454545456
Adult/L4,all,low,proximal,AWAR,0.09375
Adult/L4,all,low,proximal,AWBL,0.13157894736842105
Adult/L4,all,low,proximal,AWBR,0.2222222222222222
Adult/L4,all,low,proximal,AWCL,0.16071428571428573
Adult/L4,all,low,proximal,AWCR,0.2127659574468085
Adult/L4,all,low,proximal,BAGL,0.1282051282051282
Adult/L4,all,low,proximal,BAGR,0.0975609756097561
Adult/L4,all,low,proximal,BDUL,0.17647058823529413
Adult/L4,all,low,proximal,BDUR,0.125
Adult/L4,all,low,proximal,CEPDL,0.16279069767441862
Adult/L4,all,low,proximal,CEPDR,0.16279069767441862
Adult/L4,all,low,proximal,CEPVL,0.11538461538461539
Adult/L4,all,low,proximal,CEPVR,0.12195121951219512
Adult/L4,all,low,proximal,DVA,0.15789473684210525
Adult/L4,all,low,proximal,DVC,0.08695652173913043
Adult/L4,all,low,proximal,FLPL,0.125
Adult/L4,all,low,proximal,FLPR,0.14705882352941177
Adult/L4,all,low,proximal,IL1DL,0.1590909090909091
Adult/L4,all,low,proximal,IL1DR,0.19148936170212766
Adult/L4,all,low,proximal,IL1L,0.16666666666666666
Adult/L4,all,low,proximal,IL1R,0.18518518518518517
Adult/L4,all,low,proximal,IL1VL,0.14814814814814814
Adult/L4,all,low,proximal,IL1VR,0.1794871794871795
Adult/L4,all,low,proximal,IL2DL,0.11363636363636363
Adult/L4,all,low,proximal,IL2DR,0.11904761904761904
Adult/L4,all,low,proximal,IL2L,0.1111111111111111
Adult/L4,all,low,proximal,IL2R,0.1282051282051282
Adult/L4,all,low,proximal,IL2VL,0.1388888888888889
Adult/L4,all,low,proximal,IL2VR,0.125
Adult/L4,all,low,proximal,OLLL,0.16666666666666666
Adult/L4,all,low,proximal,OLLR,0.17307692307692307
Adult/L4,all,low,proximal,OLQDL,0.09523809523809523
Adult/L4,all,low,proximal,OLQDR,0.20454545454545456
Adult/L4,all,low,proximal,OLQVL,0.11904761904761904
Adult/L4,all,low,proximal,OLQVR,0.2222222222222222
Adult/L4,all,low,proximal,PVCL,0.16666666666666666
Adult/L4,all,low,proximal,PVCR,0.13953488372093023
Adult/L4,all,low,proximal,PVPL,0.13043478260869565
Adult/L4,all,low,proximal,PVPR,0.15151515151515152
Adult/L4,all,low,proximal,PVQL,0.11538461538461539
Adult/L4,all,low,proximal,PVQR,0.15
Adult/L4,all,low,proximal,PVT,0.13513513513513514
Adult/L4,all,low,proximal,RIAL,0.13333333333333333
Adult/L4,all,low,proximal,RIAR,0.1794871794871795
Adult/L4,all,low,proximal,RIBL,0.11764705882352941
Adult/L4,all,low,proximal,RIBR,0.11538461538461539
Adult/L4,all,low,proximal,RICL,0.13636363636363635
Adult/L4,all,low,proximal,RICR,0.21153846153846154
Adult/L4,all,low,proximal,RID,0.19298245614035087
Adult/L4,all,low,proximal,RIFL,0.1
Adult/L4,all,low,proximal,RIFR,0.13953488372093023
Adult/L4,all,low,proximal,RIGL,0.12
Adult/L4,all,low,proximal,RIGR,0.10714285714285714
Adult/L4,all,low,proximal,RIH,0.13513513513513514
Adult/L4,all,low,proximal,RIML,0.15
Adult/L4,all,low,proximal,RIMR,0.1282051282051282
Adult/L4,all,low,proximal,RIPL,0.08333333333333333
Adult/L4,all,low,proximal,RIPR,0.1111111111111111
Adult/L4,all,low,proximal,RIR,0.12903225806451613
Adult/L4,all,low,proximal,RIS,0.10714285714285714
Adult/L4,all,low,proximal,RIVL,0.11428571428571428
Adult/L4,all,low,proximal,RIVR,0.1875
Adult/L4,all,low,proximal,RMDDL,0.14545454545454545
Adult/L4,all,low,proximal,RMDDR,0.12195121951219512
Adult/L4,all,low,proximal,RMDL,0.13793103448275862
Adult/L4,all,low,proximal,RMDR,0.1111111111111111
Adult/L4,all,low,proximal,RMDVL,0.17647058823529413
Adult/L4,all,low,proximal,RMDVR,0.11428571428571428
Adult/L4,all,low,proximal,RMED,0.045454545454545456
Adult/L4,all,low,proximal,RMEL,0.06666666666666667
Adult/L4,all,low,proximal,RMER,0.09302325581395349
Adult/L4,all,low,proximal,RMEV,0.08108108108108109
Adult/L4,all,low,proximal,RMFL,0.17142857142857143
Adult/L4,all,low,proximal,RMFR,0.09375
Adult/L4,all,low,proximal,RMGL,0.12903225806451613
Adult/L4,all,low,proximal,RMGR,0.12
Adult/L4,all,low,proximal,RMHL,0.14814814814814814
Adult/L4,all,low,proximal,RMHR,0.17647058823529413
Adult/L4,all,low,proximal,SAADL,0.14285714285714285
Adult/L4,all,low,proximal,SAADR,0.17777777777777778
Adult/L4,all,low,proximal,SAAVL,0.23529411764705882
Adult/L4,all,low,proximal,SAAVR,0.18518518518518517
Adult/L4,all,low,proximal,SABD,0.06666666666666667
Adult/L4,all,low,proximal,SDQL,0.07692307692307693
Adult/L4,all,low,proximal,SDQR,0.12244897959183673
Adult/L4,all,low,proximal,SIADL,0.11538461538461539
Adult/L4,all,low,proximal,SIADR,0.1388888888888889
Adult/L4,all,low,proximal,SIAVL,0.15
Adult/L4,all,low,proximal,SIAVR,0.125
Adult/L4,all,low,proximal,SIBDL,0.20454545454545456
Adult/L4,all,low,proximal,SIBDR,0.2553191489361702
Adult/L4,all,low,proximal,SIBVL,0.17777777777777778
Adult/L4,all,low,proximal,SIBVR,0.14893617021276595
Adult/L4,all,low,proximal,SMBDL,0.13513513513513514
Adult/L4,all,low,proximal,SMBDR,0.13636363636363635
Adult/L4,all,low,proximal,SMBVL,0.09523809523809523
Adult/L4,all,low,proximal,SMBVR,0.14285714285714285
Adult/L4,all,low,proximal,SMDDL,0.13513513513513514
Adult/L4,all,low,proximal,SMDDR,0.09090909090909091
Adult/L4,all,low,proximal,SMDVL,0.12195121951219512
Adult/L4,all,low,proximal,SMDVR,0.125
Adult/L4,all,low,proximal,URADL,0.125
Adult/L4,all,low,proximal,URADR,0.11428571428571428
Adult/L4,all,low,proximal,URAVL,0.12121212121212122
Adult/L4,all,low,proximal,URAVR,0.15151515151515152
Adult/L4,all,low,proximal,URBL,0.14285714285714285
Adult/L4,all,low,proximal,URBR,0.09090909090909091
Adult/L4,all,low,proximal,URXL,0.19298245614035087
Adult/L4,all,low,proximal,URXR,0.20454545454545456
Adult/L4,all,low,proximal,URYDL,0.18032786885245902
Adult/L4,all,low,proximal,URYDR,0.20454545454545456
Adult/L4,all,low,proximal,URYVL,0.09090909090909091
Adult/L4,all,low,proximal,URYVR,0.15625
Adult/L4,all,low,proximal,ADAL,0.1590909090909091
Adult/L4,all,low,proximal,ADAR,0.175
Adult/L4,all,low,proximal,ADEL,0.14285714285714285
Adult/L4,all,low,proximal,ADER,0.15384615384615385
Adult/L4,all,low,proximal,ADFL,0.0
Adult/L4,all,low,proximal,ADFR,0.13043478260869565
Adult/L4,all,low,proximal,ADLL,0.32142857142857145
Adult/L4,all,low,proximal,ADLR,0.10526315789473684
Adult/L4,all,low,proximal,AFDL,0.047619047619047616
Adult/L4,all,low,proximal,AFDR,0.08695652173913043
Adult/L4,all,low,proximal,AIAL,0.08
Adult/L4,all,low,proximal,AIAR,0.0
Adult/L4,all,low,proximal,AIBL,0.10526315789473684
Adult/L4,all,low,proximal,AIBR,0.11627906976744186
Adult/L4,all,low,proximal,AIML,0.14705882352941177
Adult/L4,all,low,proximal,AIMR,0.175
Adult/L4,all,low,proximal,AINL,0.14285714285714285
Adult/L4,all,low,proximal,AINR,0.30434782608695654
Adult/L4,all,low,proximal,AIYL,0.10204081632653061
Adult/L4,all,low,proximal,AIYR,0.15789473684210525
Adult/L4,all,low,proximal,AIZL,0.07317073170731707
Adult/L4,all,low,proximal,AIZR,0.15789473684210525
Adult/L4,all,low,proximal,ALA,0.15789473684210525
Adult/L4,all,low,proximal,ALML,0.07692307692307693
Adult/L4,all,low,proximal,ALMR,0.125
Adult/L4,all,low,proximal,ALNL,0.13333333333333333
Adult/L4,all,low,proximal,ALNR,0.14285714285714285
Adult/L4,all,low,proximal,AQR,0.07692307692307693
Adult/L4,all,low,proximal,ASEL,0.03225806451612903
Adult/L4,all,low,proximal,ASER,0.0967741935483871
Adult/L4,all,low,proximal,ASGL,0.0
Adult/L4,all,low,proximal,ASGR,0.15
Adult/L4,all,low,proximal,ASHL,0.0967741935483871
Adult/L4,all,low,proximal,ASHR,0.12
Adult/L4,all,low,proximal,ASIL,0.32142857142857145
Adult/L4,all,low,proximal,ASIR,0.10256410256410256
Adult/L4,all,low,proximal,ASJL,0.10256410256410256
Adult/L4,all,low,proximal,ASJR,0.14705882352941177
Adult/L4,all,low,proximal,ASKL,0.1388888888888889
Adult/L4,all,low,proximal,ASKR,0.14285714285714285
Adult/L4,all,low,proximal,AUAL,0.17391304347826086
Adult/L4,all,low,proximal,AUAR,0.13333333333333333
Adult/L4,all,low,proximal,AVAL,0.07692307692307693
Adult/L4,all,low,proximal,AVAR,0.15151515151515152
Adult/L4,all,low,proximal,AVBL,0.10416666666666667
Adult/L4,all,low,proximal,AVBR,0.1282051282051282
Adult/L4,all,low,proximal,AVDL,0.17647058823529413
Adult/L4,all,low,proximal,AVDR,0.23214285714285715
Adult/L4,all,low,proximal,AVEL,0.11904761904761904
Adult/L4,all,low,proximal,AVER,0.1724137931034483
Adult/L4,all,low,proximal,AVFL,0.07317073170731707
Adult/L4,all,low,proximal,AVFR,0.2
Adult/L4,all,low,proximal,AVHL,0.14285714285714285
Adult/L4,all,low,proximal,AVHR,0.17857142857142858
Adult/L4,all,low,proximal,AVJL,0.2
Adult/L4,all,low,proximal,AVJR,0.14285714285714285
Adult/L4,all,low,proximal,AVKL,0.125
Adult/L4,all,low,proximal,AVKR,0.08695652173913043
Adult/L4,all,low,proximal,AVL,0.15625
Adult/L4,all,low,proximal,AVM,0.07894736842105263
Adult/L4,all,low,proximal,AWAL,0.10714285714285714
Adult/L4,all,low,proximal,AWAR,0.1111111111111111
Adult/L4,all,low,proximal,AWBL,0.15789473684210525
Adult/L4,all,low,proximal,AWBR,0.18181818181818182
Adult/L4,all,low,proximal,AWCL,0.14814814814814814
Adult/L4,all,low,proximal,AWCR,0.14285714285714285
Adult/L4,all,low,proximal,BAGL,0.23214285714285715
Adult/L4,all,low,proximal,BAGR,0.18421052631578946
Adult/L4,all,low,proximal,BDUL,0.15384615384615385
Adult/L4,all,low,proximal,BDUR,0.16666666666666666
Adult/L4,all,low,proximal,CEPDL,0.1951219512195122
Adult/L4,all,low,proximal,CEPDR,0.08695652173913043
Adult/L4,all,low,proximal,CEPVL,0.11764705882352941
Adult/L4,all,low,proximal,CEPVR,0.15
Adult/L4,all,low,proximal,DVA,0.13953488372093023
Adult/L4,all,low,proximal,DVC,0.1320754716981132
Adult/L4,all,low,proximal,FLPL,0.16666666666666666
Adult/L4,all,low,proximal,FLPR,0.08695652173913043
Adult/L4,all,low,proximal,IL1DL,0.175
Adult/L4,all,low,proximal,IL1DR,0.18421052631578946
Adult/L4,all,low,proximal,IL1L,0.1875
Adult/L4,all,low,proximal,IL1R,0.10526315789473684
Adult/L4,all,low,proximal,IL1VL,0.23076923076923078
Adult/L4,all,low,proximal,IL1VR,0.23076923076923078
Adult/L4,all,low,proximal,IL2DL,0.2
Adult/L4,all,low,proximal,IL2DR,0.13513513513513514
Adult/L4,all,low,proximal,IL2L,0.18181818181818182
Adult/L4,all,low,proximal,IL2R,0.13513513513513514
Adult/L4,all,low,proximal,IL2VL,0.18181818181818182
Adult/L4,all,low,proximal,IL2VR,0.13333333333333333
Adult/L4,all,low,proximal,OLLL,0.19444444444444445
Adult/L4,all,low,proximal,OLLR,0.16666666666666666
Adult/L4,all,low,proximal,OLQDL,0.14705882352941177
Adult/L4,all,low,proximal,OLQDR,0.12903225806451613
Adult/L4,all,low,proximal,OLQVL,0.11428571428571428
Adult/L4,all,low,proximal,OLQVR,0.15625
Adult/L4,all,low,proximal,PVCL,0.15
Adult/L4,all,low,proximal,PVCR,0.1702127659574468
Adult/L4,all,low,proximal,PVPL,0.09375
Adult/L4,all,low,proximal,PVPR,0.18181818181818182
Adult/L4,all,low,proximal,PVQL,0.05555555555555555
Adult/L4,all,low,proximal,PVQR,0.1724137931034483
Adult/L4,all,low,proximal,PVT,0.175
Adult/L4,all,low,proximal,RIAL,0.1282051282051282
Adult/L4,all,low,proximal,RIAR,0.23529411764705882
Adult/L4,all,low,proximal,RIBL,0.18518518518518517
Adult/L4,all,low,proximal,RIBR,0.07894736842105263
Adult/L4,all,low,proximal,RICL,0.1568627450980392
Adult/L4,all,low,proximal,RICR,0.13559322033898305
Adult/L4,all,low,proximal,RID,0.1282051282051282
Adult/L4,all,low,proximal,RIFL,0.125
Adult/L4,all,low,proximal,RIFR,0.10344827586206896
Adult/L4,all,low,proximal,RIGL,0.15384615384615385
Adult/L4,all,low,proximal,RIGR,0.11538461538461539
Adult/L4,all,low,proximal,RIH,0.15151515151515152
Adult/L4,all,low,proximal,RIML,0.11904761904761904
Adult/L4,all,low,proximal,RIMR,0.15217391304347827
Adult/L4,all,low,proximal,RIPL,0.125
Adult/L4,all,low,proximal,RIPR,0.125
Adult/L4,all,low,proximal,RIR,0.14285714285714285
Adult/L4,all,low,proximal,RIS,0.14705882352941177
Adult/L4,all,low,proximal,RIVL,0.1951219512195122
Adult/L4,all,low,proximal,RIVR,0.1509433962264151
Adult/L4,all,low,proximal,RMDDL,0.1111111111111111
Adult/L4,all,low,proximal,RMDDR,0.12
Adult/L4,all,low,proximal,RMDL,0.09375
Adult/L4,all,low,proximal,RMDR,0.07894736842105263
Adult/L4,all,low,proximal,RMDVL,0.15151515151515152
Adult/L4,all,low,proximal,RMDVR,0.08108108108108109
Adult/L4,all,low,proximal,RMED,0.08571428571428572
Adult/L4,all,low,proximal,RMEL,0.17142857142857143
Adult/L4,all,low,proximal,RMER,0.11764705882352941
Adult/L4,all,low,proximal,RMEV,0.13333333333333333
Adult/L4,all,low,proximal,RMFL,0.13513513513513514
Adult/L4,all,low,proximal,RMFR,0.08108108108108109
Adult/L4,all,low,proximal,RMGL,0.17857142857142858
Adult/L4,all,low,proximal,RMGR,0.11363636363636363
Adult/L4,all,low,proximal,RMHL,0.14893617021276595
Adult/L4,all,low,proximal,RMHR,0.15625
Adult/L4,all,low,proximal,SAADL,0.13333333333333333
