ADFL,AIZL,SMBDL,Taxis,Taxis,Lateral,1,3,3,4,2,0,M,MDFF,1,3
ADFL,RIR,AIZL,Taxis,Avoidance,Taxis,1,3,3,1,2,0,M,MDFF,1,3
ADFL,RIR,RIAL,Taxis,Avoidance,Anterior,1,3,3,0,2,0,M,MDFF,1,3
ADFL,AUAL,RIAL,Taxis,Taxis,Anterior,1,3,3,4,2,0,M,MDFF,1,3
ADFL,AIZL,RIAL,Taxis,Taxis,Anterior,1,3,3,4,2,0,M,MDFF,1,3
ADFL,AIZL,SMBVL,Taxis,Taxis,Lateral,1,3,3,4,2,0,M,MDFF,1,3
RIH,AIZL,RIAL,Anterior,Taxis,Anterior,3,3,3,1,7,1,H,PFF,3,3
AWAL,AWBL,AIZL,Taxis,Taxis,Taxis,1,1,3,7,4,1,M,MFB,1,3
AWAL,AIYL,AIZL,Taxis,Taxis,Taxis,1,2,3,7,0,1,V,FF,1,3
AIYL,AIZL,RIAL,Taxis,Taxis,Anterior,2,3,3,4,2,0,M,MDFF,2,3
AWBL,AIYL,AIZL,Taxis,Taxis,Taxis,1,2,3,7,0,1,V,FF,1,3
AIZL,ASEL,AIBL,Taxis,Taxis,Taxis,3,1,3,7,1,1,M,MPFF,1,3
AIZL,AIAL,AIBL,Taxis,Taxis,Taxis,3,2,3,7,1,1,M,MPFF,2,3
RIR,AIZL,RIAL,Avoidance,Taxis,Anterior,3,3,3,0,7,1,H,LFF,3,3
URXL,AUAL,RIAL,Taxis,Taxis,Anterior,1,3,3,4,2,0,M,MDFF,1,3
RIH,RIBL,RIAL,Anterior,Taxis,Anterior,3,3,3,1,7,1,H,PFF,3,3
AIYL,RIBL,RIAL,Taxis,Taxis,Anterior,2,3,3,4,2,0,M,MDFF,2,3
AWAL,AWBL,AIYL,Taxis,Taxis,Taxis,1,1,2,7,4,1,M,MFB,1,2
ADLL,ASEL,AIBL,Taxis,Taxis,Taxis,1,1,3,7,4,1,M,MFB,1,3
ADLL,AIAL,AIBL,Taxis,Taxis,Taxis,1,2,3,7,0,1,V,FF,1,3
ADLL,AWCL,AIBL,Taxis,Taxis,Taxis,1,1,3,7,4,1,M,MFB,1,3
ASGL,AIAL,AIBL,Taxis,Taxis,Taxis,1,2,3,7,0,1,V,FF,1,3
ASIL,ASGL,AIBL,Taxis,Taxis,Taxis,1,1,3,7,4,1,M,MFB,1,3
ASIL,AIAL,AIBL,Taxis,Taxis,Taxis,1,2,3,7,0,1,V,FF,1,3
